clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Paraprevotella_xylaniphila	0	0.02563	0.00326	0.0	0.0	0.0	0.0	0.03305	0.0	0.0	0.02289	0.0	0.0	0.0068	0.0	0.0	0.0	0.0	0.0	0.0597	0.05935	0.0	0.00181	0.0	0.04137	0.0	0.0	0.05128	0.0	0.0	0.0	0.0
s__Anaerobiospirillum_thomasii	0	0.02173	0.0	0.01985	0.0161	0.0	0.01302	0.0	0.06477	0.01033	0.0	0.0	0.02524	0.0	0.01043	0.0	0.01058	0.0	0.03765	0.0	0.01336	0.0	0.01256	0.0	0.0	0.04808	0.0	0.0	0.0	0.00405	0.0	0.0
s__Methanosphaera_stadtmanae	0	0.0201	0.0	0.07112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Desulfovibrio_piger	0	0.01954	0.0	0.24142	0.02374	0.0	0.0	0.01899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30848	0.0	0.0	0.0	0.0	0.01133	0.0	0.0	0.0	0.01347	0.0	0.0
s__Eubacterium_ventriosum	0	0.0186	0.02988	0.01286	0.0	0.0	0.02389	0.01474	0.0	0.08159	0.0	0.00181	0.0	0.01097	0.0	0.0	0.00025	0.0	0.00084	0.0	0.0	0.0	0.02209	0.00597	0.0	0.0	0.0	0.00229	0.00157	0.03242	0.0	0.0101
s__Desulfovibrionaceae_bacterium	0	0.01748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_disporicum	0	0.01646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Odoribacter_splanchnicus	0	0.01622	0.0	0.0	0.0	0.02283	0.00025	0.03199	0.0	0.41525	0.0	0.07461	0.29689	0.0	0.0	0.0	0.0	0.0	0.00417	0.11515	0.00451	0.0	0.03335	0.03842	0.04323	0.0	0.01871	0.97988	0.0	0.0	0.00531	0.0
s__Brachyspira_pilosicoli	0	0.01246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Alistipes_putredinis	0	0.0107	0.0	0.0	0.0	0.0	0.0	0.00902	0.01171	0.90449	0.00272	0.98925	2.54654	0.0	0.0	0.0	0.0	0.0	0.01298	0.0	0.01578	0.0	0.0	0.0059	0.01481	0.00416	0.0	16.13589	0.01229	0.04151	0.0	0.0
